Product,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Big Mac,7.6,550,29,10,1,75,970,46,3,9,25,4,2,25,25
Quarter Pounder with Cheese+,7.1,520,26,12,1.5,95,1100,41,3,10,30,10,2,30,25
Bacon Clubhouse Burger,9.5,720,40,15,1.5,115,1470,51,4,14,39,8,25,30,25
Quarter Pounder Deluxe+,8.6,540,27,11,1.5,85,960,45,3,9,29,10,8,25,30
Double Quarter Pounder with Cheese++,10,750,43,19,2.5,160,1280,42,3,10,48,10,2,30,35
Hamburger,3.5,250,9,3.5,0.5,25,480,31,2,6,12,2,2,10,15
Cheeseburger,4,300,12,6,0.5,40,680,33,2,7,15,6,2,20,15
BBQ Ranch Burger,4.1,350,16,6,0.5,45,680,37,3,7,16,4,0,20,15
Grilled Onion Cheddar,4.1,310,13,6,0.5,40,660,33,2,7,15,2,0,20,15
Double Cheeseburger,5.8,440,23,11,1.5,80,1050,34,2,7,25,8,2,30,20
McDouble,5.3,390,19,8,1,65,850,33,2,7,23,6,2,20,20
Bacon McDouble,5.8,460,24,10,1,85,1120,34,2,7,28,6,10,20,20
Daily Double,6.8,440,24,9,1.5,70,770,33,2,7,23,6,6,20,20
Bacon Clubhouse Crispy Chicken Sandwich,10,750,38,10,0.5,90,1720,65,4,16,36,8,25,30,15
Bacon Clubhouse Grilled Chicken Sandwich,9.5,590,25,8,0,110,1560,51,4,14,40,8,30,30,15
Premium Grilled Chicken Classic Sandwich,7,350,9,2,0,65,820,42,3,8,28,4,8,15,20
McChicken ,5.1,360,16,3,0,35,800,40,2,5,14,0,2,10,15
Buffalo Ranch McChicken,5.1,350,15,3,0,35,980,40,2,5,14,2,2,15,15
Bacon Buffalo Ranch McChicken,5.6,420,20,4.5,0,50,1250,41,2,6,20,2,10,15,15
Bacon Cheddar McChicken,6,480,24,7,0,65,1260,43,2,6,22,4,10,20,15
Southern Style Crispy Chicken Sandwich,5.6,430,19,3,0,45,910,43,2,7,21,4,2,15,15
Filet-O-Fish,5,390,19,4,0,40,590,39,2,5,15,2,0,15,10
McRib ,7.3,500,26,10,0,70,980,44,3,11,22,2,2,15,20
Premium McWrap Southwest Chicken,9.7,510,20,6,0,80,1280,53,4,9,31,15,15,20,20
Premium McWrap Chicken & Bacon,9,460,18,7,0,95,1330,40,3,4,35,10,20,15,20
Premium McWrap Chicken & Ranch,9.4,420,16,6,0,80,1130,41,3,5,30,10,15,15,20
Premium McWrap Chicken Sweet Chili,8,360,9,2.5,0,65,1030,43,2,9,26,8,6,8,20
Chipotle BBQ Snack Wrap,4.3,260,8,3.5,0,40,700,30,1,7,16,4,2,10,10
Honey Mustard Snack Wrap,4.1,250,8,3.5,0,45,650,27,1,2,16,2,2,10,10
Ranch Snack Wrap,4.2,270,12,4,0,45,700,25,1,2,16,2,2,10,10
Mac Snack Wrap,4.4,330,19,7,1,45,670,26,1,3,14,2,0,8,15
Chicken McNuggets (4 piece),2.3,190,12,2,0,25,360,12,1,0,9,0,2,0,2
Bacon Clubhouse Crispy Chicken Sandwich,10,750,38,10,0.5,90,1720,65,4,16,36,8,25,30,15
Bacon Clubhouse Grilled Chicken Sandwich,9.5,590,25,8,0,110,1560,51,4,14,40,8,30,30,15
Premium Crispy Chicken Classic Sandwich,7.5,510,22,3.5,0,45,990,55,3,10,24,4,6,15,20
Premium Grilled Chicken Classic Sandwich,7,350,9,2,0,65,820,42,3,8,28,4,8,15,20
Premium Crispy Chicken Club Sandwich,8.8,670,33,9,0,85,1410,58,3,11,36,8,20,30,20
Premium Grilled Chicken Club Sandwich,8.3,510,20,7,0,105,1250,44,3,9,40,8,20,30,20
Premium Crispy Chicken Ranch BLT Sandwich,8,590,27,6,0,70,1380,57,3,11,32,4,20,15,20
Premium Grilled Chicken Ranch BLT Sandwich,7.5,440,14,4,0,90,1210,43,3,9,36,4,20,15,20
McChicken ,5.1,360,16,3,0,35,800,40,2,5,14,0,2,10,15
Buffalo Ranch McChicken,5.1,350,15,3,0,35,980,40,2,5,14,2,2,15,15
Bacon Buffalo Ranch McChicken,5.6,420,20,4.5,0,50,1250,41,2,6,20,2,10,15,15
Bacon Cheddar McChicken,6,480,24,7,0,65,1260,43,2,6,22,4,10,20,15
Southern Style Crispy Chicken Sandwich,5.6,430,19,3,0,45,910,43,2,7,21,4,2,15,15
Filet-O-Fish,5,390,19,4,0,40,590,39,2,5,15,2,0,15,10
Premium McWrap Southwest Chicken,9.7,510,20,6,0,80,1280,53,4,9,31,15,15,20,20
Premium McWrap Chicken & Bacon,9,460,18,7,0,95,1330,40,3,4,35,10,20,15,20
Premium McWrap Chicken & Ranch,9.4,420,16,6,0,80,1130,41,3,5,30,10,15,15,20
Premium McWrap Chicken Sweet Chili,8,360,9,2.5,0,65,1030,43,2,9,26,8,6,8,20
Chipotle BBQ Snack Wrap,4.3,260,8,3.5,0,40,700,30,1,7,16,4,2,10,10
Honey Mustard Snack Wrap,4.1,250,8,3.5,0,45,650,27,1,2,16,2,2,10,10
Ranch Snack Wrap,4.2,270,12,4,0,45,700,25,1,2,16,2,2,10,10
Premium Bacon Ranch Salad with Grilled Chicken,10.8,230,9,4,0,85,700,10,4,5,30,160,35,15,10
Premium Southwest Salad with Grilled Chicken,11.8,290,8,2.5,0,70,650,28,7,11,27,160,35,15,15
Chicken McNuggets (10 piece),5.7,470,30,5,0,65,900,30,2,0,22,0,4,2,6
Spicy Chicken McBites Shareable Size,10,910,55,10,0,120,1990,61,1,1,46,15,4,10,10
Mighty Wings (5 piece),5.5,480,31,7,0,145,1450,20,2,0,30,2,4,2,6
Spicy Chicken McBites Snack Size,3,270,17,3,0,35,600,18,0,0,14,4,0,2,2
Fruit 'n Yogurt Parfait,5.2,150,2,1,0,5,70,30,1,23,4,2,15,10,4
Egg McMuffin,4.8,300,13,5,0,260,750,31,4,3,17,10,0,25,15
Egg White Delight,4.8,250,8,3,0,25,770,30,4,3,18,6,0,25,8
Sausage McMuffin,3.9,370,23,8,0,45,780,29,4,2,14,8,0,25,10
Sausage McMuffin with Egg,5.7,450,28,10,0,285,860,30,4,2,21,15,0,30,15
Steak & Egg McMuffin,6.5,430,23,9,1,300,960,31,4,3,26,15,2,30,20
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",5.3,460,26,13,0,250,1300,38,2,3,19,10,8,15,15
Sausage Biscuit (Regular Size Biscuit),4.1,430,27,12,0,30,1080,34,2,2,11,0,0,6,15
Sausage Biscuit with Egg (Regular Size Biscuit),5.7,510,33,14,0,250,1170,36,2,2,18,6,0,10,20
Steak & Egg Biscuit (Regular Biscuit),7.1,540,32,16,1,280,1470,38,2,3,25,10,2,20,25
"Bacon, Egg & Cheese McGriddles",6.1,460,21,9,0,250,1250,48,2,15,19,10,10,20,15
Sausage McGriddles,5,420,22,8,0,35,1030,44,2,15,11,0,0,8,10
"Sausage, Egg & Cheese McGriddles",7.1,550,31,12,0,265,1320,48,2,15,20,10,0,20,15
"Bacon, Egg & Cheese Bagel",6.9,620,31,11,0.5,275,1480,57,3,7,30,20,15,20,20
"Steak, Egg & Cheese Bagel",8.5,670,35,13,1.5,295,1510,56,3,7,33,20,4,25,25
Cinnamon Melts,4,460,19,9,0,15,370,66,3,32,6,4,0,6,15
Hotcakes,5.3,350,9,2,0,20,590,60,3,14,8,0,0,15,15
Hotcakes and Sausage,6.8,520,24,7,0,50,930,61,3,14,15,0,0,15,15
Southern Style Chicken Biscuit (Regular Size Biscuit),5,410,20,8,0,30,1180,41,2,3,17,0,2,6,15
Sausage Burrito,3.9,300,16,7,0,115,790,26,1,2,12,10,2,15,15
Hash Brown,2,150,9,1.5,0,0,310,15,2,0,1,0,2,0,2
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",5.8,520,30,14,0,250,1410,43,3,4,19,15,8,20,20
Sausage Biscuit (Large Size Biscuit),4.6,480,31,13,0,30,1190,39,3,3,11,4,0,8,15
Sausage Biscuit with Egg (Large Size Biscuit),6.2,570,37,15,0,250,1280,42,3,3,18,10,0,10,20
Southern Style Chicken Biscuit (Large Size Biscuit),5.5,470,24,9,0,30,1290,46,3,4,17,4,2,8,15
"Bacon, Egg & Cheese Bagel with Egg Whites",7.1,570,25,9,0.5,60,1480,55,3,8,30,10,15,20,15
"Bacon, Egg & Cheese Biscuit with Egg Whites",5.9,470,25,12,0,35,1420,42,3,4,20,6,8,15,15
"Bacon, Egg & Cheese Biscuit with Egg Whites",5.4,410,20,11,0,35,1300,36,2,3,20,2,8,15,10
"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3,400,15,7,0,35,1250,47,2,16,20,2,10,15,10
Big Breakfast with Egg Whites (Regular Size Biscuit),9.6,640,37,14,0,35,1590,50,3,3,26,0,2,10,15
Big Breakfast with Hotcakes and Egg Whites,14.9,990,46,16,0,55,2170,110,6,17,35,0,2,25,30
Fruit & Maple Oatmeal ,9.6,290,4,1.5,0,5,160,58,5,32,5,2,130,10,10
Fruit & Maple Oatmeal without Brown Sugar,9.6,260,4,1.5,0,5,115,49,5,18,5,2,130,6,10
Sausage Biscuit with Egg Whites (Large Size Biscuit),6.4,520,32,13,0,35,1290,40,3,3,18,4,0,8,15
Sausage Biscuit with Egg Whites (Regular Size Biscuit),5.9,460,27,12,0,35,1180,34,2,3,18,0,0,8,15
Sausage McMuffin with Egg Whites,5.7,400,23,8,0,50,880,30,4,2,21,6,0,25,10
"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2,500,26,10,0,50,1320,46,2,15,21,2,0,20,10
Salads Premium Bacon Ranch Salad,7.9,140,7,3.5,0,25,300,10,3,4,9,160,30,15,8
Premium Bacon Ranch Salad with Crispy Chicken,11.3,390,22,6,0,70,870,24,4,7,26,160,35,15,10
